Time [s], Analyzer Name, Decoded Protocol Result
0.308314937500000,Async Serial,0x0D
0.308317125000000,Async Serial,0x1A
0.308319375000000,Async Serial,0x2A
0.308321562500000,Async Serial,0x00
0.308323812500000,Async Serial,0x53
0.308326000000000,Async Serial,0x04
0.308328250000000,Async Serial,0x69
0.308330500000000,Async Serial,0x39
0.308332687500000,Async Serial,0xF0
0.308334937500000,Async Serial,0x1D
0.308337125000000,Async Serial,0x4F
0.308339375000000,Async Serial,0x40
0.308341562500000,Async Serial,0xD8
0.308343812500000,Async Serial,0x38
0.308346000000000,Async Serial,0xC1
0.308348250000000,Async Serial,0x40
0.308350500000000,Async Serial,0xA6
0.308352687500000,Async Serial,0x6A
0.308354937500000,Async Serial,0x54
0.308357125000000,Async Serial,0xBB
0.308359375000000,Async Serial,0xC5
0.308361562500000,Async Serial,0x8A
0.308363812500000,Async Serial,0x28
0.308366000000000,Async Serial,0x3E
0.308368250000000,Async Serial,0x00
0.308370500000000,Async Serial,0x00
0.308372687500000,Async Serial,0x00
0.308374937500000,Async Serial,0x00
0.308377125000000,Async Serial,0x00
0.308379375000000,Async Serial,0x00
0.308381562500000,Async Serial,0x00
0.308383812500000,Async Serial,0x00
0.308386000000000,Async Serial,0x00
0.308388250000000,Async Serial,0x00
0.308390500000000,Async Serial,0x00
0.308392687500000,Async Serial,0x00
0.308394937500000,Async Serial,0xC0
0.308487937500000,Async Serial,0xBA
0.308490125000000,Async Serial,0x1A
0.308492375000000,Async Serial,0x2A
0.308494562500000,Async Serial,0x00
0.308496812500000,Async Serial,0x53
0.308499062500000,Async Serial,0x04
0.308501250000000,Async Serial,0x69
0.308503500000000,Async Serial,0x39
0.308505687500000,Async Serial,0x00
0.308507937500000,Async Serial,0x08
0.308510125000000,Async Serial,0x4F
0.308512375000000,Async Serial,0x40
0.308514625000000,Async Serial,0xD8
0.308516812500000,Async Serial,0x38
0.308519062500000,Async Serial,0xC1
0.308521250000000,Async Serial,0xDB
0.308523500000000,Async Serial,0xDC
0.308525687500000,Async Serial,0xBE
0.308527937500000,Async Serial,0x23
0.308530125000000,Async Serial,0x0B
0.308532375000000,Async Serial,0xDB
0.308534625000000,Async Serial,0xDC
0.308536812500000,Async Serial,0x9E
0.308539062500000,Async Serial,0x60
0.308541250000000,Async Serial,0x5C
0.308543500000000,Async Serial,0xBF
0.308545687500000,Async Serial,0x61
0.308547937500000,Async Serial,0xFA
0.308550125000000,Async Serial,0x6C
0.308552375000000,Async Serial,0xBF
0.308554625000000,Async Serial,0xEC
0.308556812500000,Async Serial,0x84
0.308559062500000,Async Serial,0xDB
0.308561250000000,Async Serial,0xDC
0.308563500000000,Async Serial,0xBE
0.308565687500000,Async Serial,0x00
0.308567937500000,Async Serial,0x00
0.308570125000000,Async Serial,0x00
0.308572375000000,Async Serial,0x00
0.308574625000000,Async Serial,0xC0
0.308738687500000,Async Serial,0xB5
0.308740875000000,Async Serial,0x1B
0.308743125000000,Async Serial,0x2A
0.308745312500000,Async Serial,0x00
0.308747562500000,Async Serial,0x53
0.308749750000000,Async Serial,0x04
0.308752000000000,Async Serial,0x69
0.308754250000000,Async Serial,0x39
0.308756437500000,Async Serial,0xF0
0.308758687500000,Async Serial,0x33
0.308760875000000,Async Serial,0x4F
0.308763125000000,Async Serial,0x40
0.308765312500000,Async Serial,0xD8
0.308767562500000,Async Serial,0x38
0.308769750000000,Async Serial,0x41
0.308772000000000,Async Serial,0x41
0.308774250000000,Async Serial,0x12
0.308776437500000,Async Serial,0x09
0.308778687500000,Async Serial,0x8B
0.308780875000000,Async Serial,0xDB
0.308783125000000,Async Serial,0xDC
0.308785312500000,Async Serial,0x0A
0.308787562500000,Async Serial,0x3A
0.308789750000000,Async Serial,0x50
0.308792000000000,Async Serial,0xDB
0.308794250000000,Async Serial,0xDC
0.308796437500000,Async Serial,0x59
0.308798687500000,Async Serial,0xE4
0.308800875000000,Async Serial,0x19
0.308803125000000,Async Serial,0xBF
0.308805312500000,Async Serial,0xFB
0.308807562500000,Async Serial,0x58
0.308809750000000,Async Serial,0x4D
0.308812000000000,Async Serial,0xBF
0.308814250000000,Async Serial,0x00
0.308816437500000,Async Serial,0x00
0.308818687500000,Async Serial,0x00
0.308820875000000,Async Serial,0x00
0.308823125000000,Async Serial,0xC0
0.308956625000000,Async Serial,0x8F
0.308958875000000,Async Serial,0x1C
0.308961125000000,Async Serial,0x2A
0.308963312500000,Async Serial,0x00
0.308965562500000,Async Serial,0x53
0.308967750000000,Async Serial,0x04
0.308970000000000,Async Serial,0x69
0.308972187500000,Async Serial,0x39
0.308974437500000,Async Serial,0xF0
0.308976625000000,Async Serial,0x54
0.308978875000000,Async Serial,0x4F
0.308981125000000,Async Serial,0x40
0.308983312500000,Async Serial,0xA2
0.308985562500000,Async Serial,0xEA
0.308987750000000,Async Serial,0x10
0.308990000000000,Async Serial,0x41
0.308992187500000,Async Serial,0xA0
0.308994437500000,Async Serial,0x07
0.308996625000000,Async Serial,0x31
0.308998875000000,Async Serial,0xDB
0.309001125000000,Async Serial,0xDC
0.309003312500000,Async Serial,0x33
0.309005562500000,Async Serial,0x73
0.309007750000000,Async Serial,0xA2
0.309010000000000,Async Serial,0xDB
0.309012187500000,Async Serial,0xDC
0.309014437500000,Async Serial,0x33
0.309016625000000,Async Serial,0xBC
0.309018875000000,Async Serial,0x12
0.309021125000000,Async Serial,0x3E
0.309023312500000,Async Serial,0x7C
0.309025562500000,Async Serial,0x56
0.309027750000000,Async Serial,0x7D
0.309030000000000,Async Serial,0xBF
0.309032187500000,Async Serial,0x00
0.309034437500000,Async Serial,0x00
0.309036625000000,Async Serial,0x00
0.309038875000000,Async Serial,0x00
0.309041125000000,Async Serial,0xC0
0.309171125000000,Async Serial,0x65
0.309173312500000,Async Serial,0x1D
0.309175562500000,Async Serial,0x2A
0.309177750000000,Async Serial,0x00
0.309180000000000,Async Serial,0x53
0.309182250000000,Async Serial,0x04
0.309184437500000,Async Serial,0x69
0.309186687500000,Async Serial,0x39
0.309188875000000,Async Serial,0xF0
0.309191125000000,Async Serial,0x49
0.309193312500000,Async Serial,0x4F
0.309195562500000,Async Serial,0x40
0.309197750000000,Async Serial,0xD8
0.309200000000000,Async Serial,0x38
0.309202250000000,Async Serial,0x41
0.309204437500000,Async Serial,0xDB
0.309206687500000,Async Serial,0xDC
0.309208875000000,Async Serial,0x64
0.309211125000000,Async Serial,0x0C
0.309213312500000,Async Serial,0x04
0.309215562500000,Async Serial,0x40
0.309217750000000,Async Serial,0x41
0.309220000000000,Async Serial,0xBB
0.309222250000000,Async Serial,0xA0
0.309224437500000,Async Serial,0xDB
0.309226687500000,Async Serial,0xDC
0.309228875000000,Async Serial,0xD3
0.309231125000000,Async Serial,0x0D
0.309233312500000,Async Serial,0x3B
0.309235562500000,Async Serial,0x3F
0.309237750000000,Async Serial,0x08
0.309240000000000,Async Serial,0x57
0.309242250000000,Async Serial,0x2F
0.309244437500000,Async Serial,0xBF
0.309246687500000,Async Serial,0x00
0.309248875000000,Async Serial,0x00
