Time [s], Analyzer Name, Decoded Protocol Result
1.980859250000000,Async Serial,0x66
1.980861437500000,Async Serial,0x29
1.980863687500000,Async Serial,0x48
1.980865875000000,Async Serial,0x40
1.980868125000000,Async Serial,0x66
1.980870312500000,Async Serial,0x29
1.980872562500000,Async Serial,0x48
1.980874812500000,Async Serial,0x40
1.980877000000000,Async Serial,0xC0
1.980990250000000,Async Serial,0x56
1.980992500000000,Async Serial,0x66
1.980994687500000,Async Serial,0x4C
1.980996937500000,Async Serial,0x40
1.980999125000000,Async Serial,0x6E
1.981001375000000,Async Serial,0xFD
1.981003625000000,Async Serial,0x47
1.981005812500000,Async Serial,0x40
1.981008062500000,Async Serial,0xC0
1.981157875000000,Async Serial,0x27
1.981160125000000,Async Serial,0x8C
1.981162312500000,Async Serial,0x4E
1.981164562500000,Async Serial,0x40
1.981166750000000,Async Serial,0x6E
1.981169000000000,Async Serial,0xBB
1.981171250000000,Async Serial,0x47
1.981173437500000,Async Serial,0x40
1.981175687500000,Async Serial,0xC0
1.981324437500000,Async Serial,0xE6
1.981326687500000,Async Serial,0x3B
1.981328875000000,Async Serial,0x50
1.981331125000000,Async Serial,0x40
1.981333312500000,Async Serial,0x7E
1.981335562500000,Async Serial,0x63
1.981337812500000,Async Serial,0x47
1.981340000000000,Async Serial,0x40
1.981342250000000,Async Serial,0xC0
1.981491187500000,Async Serial,0x32
1.981493375000000,Async Serial,0x86
1.981495625000000,Async Serial,0x4F
1.981497812500000,Async Serial,0x40
1.981500062500000,Async Serial,0x7E
1.981502250000000,Async Serial,0x58
1.981504500000000,Async Serial,0x47
1.981506687500000,Async Serial,0x40
1.981508937500000,Async Serial,0xC0
1.981657750000000,Async Serial,0xF2
1.981660000000000,Async Serial,0x8F
1.981662250000000,Async Serial,0x50
1.981664437500000,Async Serial,0x40
1.981666687500000,Async Serial,0x7E
1.981668875000000,Async Serial,0x4D
1.981671125000000,Async Serial,0x47
1.981673312500000,Async Serial,0x40
1.981675562500000,Async Serial,0xC0
1.981824437500000,Async Serial,0x5F
1.981826687500000,Async Serial,0x2C
1.981828875000000,Async Serial,0x50
1.981831125000000,Async Serial,0x40
1.981833375000000,Async Serial,0x7E
1.981835562500000,Async Serial,0x42
1.981837812500000,Async Serial,0x47
1.981840000000000,Async Serial,0x40
1.981842250000000,Async Serial,0xC0
1.981991125000000,Async Serial,0x73
1.981993375000000,Async Serial,0x25
1.981995562500000,Async Serial,0x52
1.981997812500000,Async Serial,0x40
1.982000000000000,Async Serial,0x76
1.982002250000000,Async Serial,0x6E
1.982004437500000,Async Serial,0x47
1.982006687500000,Async Serial,0x40
1.982008937500000,Async Serial,0xC0
1.982157875000000,Async Serial,0x17
1.982160062500000,Async Serial,0x1B
1.982162312500000,Async Serial,0x51
1.982164562500000,Async Serial,0x40
1.982166750000000,Async Serial,0x76
1.982169000000000,Async Serial,0x79
1.982171187500000,Async Serial,0x47
1.982173437500000,Async Serial,0x40
1.982175625000000,Async Serial,0xC0
1.982324437500000,Async Serial,0xF3
1.982326687500000,Async Serial,0xDF
1.982328875000000,Async Serial,0x51
1.982331125000000,Async Serial,0x40
1.982333375000000,Async Serial,0x7E
1.982335562500000,Async Serial,0x8F
1.982337812500000,Async Serial,0x47
1.982340000000000,Async Serial,0x40
1.982342250000000,Async Serial,0xC0
