Time [s], Analyzer Name, Decoded Protocol Result
1.949678750000000,Async Serial,0x95
1.949680937500000,Async Serial,0x28
1.949683187500000,Async Serial,0x00
1.949685375000000,Async Serial,0x3E
1.949687625000000,Async Serial,0xC3
1.949689812500000,Async Serial,0x2E
1.949692062500000,Async Serial,0x39
1.949694250000000,Async Serial,0x9C
1.949696500000000,Async Serial,0x50
1.949698750000000,Async Serial,0x4B
1.949700937500000,Async Serial,0x40
1.949703187500000,Async Serial,0x00
1.949705375000000,Async Serial,0x00
1.949707625000000,Async Serial,0x00
1.949709812500000,Async Serial,0x00
1.949712062500000,Async Serial,0x6F
1.949714312500000,Async Serial,0x43
1.949716500000000,Async Serial,0x9B
1.949718750000000,Async Serial,0x3E
1.949720937500000,Async Serial,0x6B
1.949723187500000,Async Serial,0xDE
1.949725375000000,Async Serial,0x64
1.949727625000000,Async Serial,0xBE
1.949729812500000,Async Serial,0x8D
1.949732062500000,Async Serial,0xF8
1.949734312500000,Async Serial,0x0D
1.949736500000000,Async Serial,0xBC
1.949738750000000,Async Serial,0x42
1.949740937500000,Async Serial,0x96
1.949743187500000,Async Serial,0x0A
1.949745375000000,Async Serial,0xBF
1.949747625000000,Async Serial,0xC0
1.949843312500000,Async Serial,0x0E
1.949845562500000,Async Serial,0x96
1.949847750000000,Async Serial,0x28
1.949850000000000,Async Serial,0x00
1.949852187500000,Async Serial,0x3E
1.949854437500000,Async Serial,0xC3
1.949856625000000,Async Serial,0x2E
1.949858875000000,Async Serial,0x39
1.949861125000000,Async Serial,0x98
1.949863312500000,Async Serial,0x66
1.949865562500000,Async Serial,0x4B
1.949867750000000,Async Serial,0x40
1.949870000000000,Async Serial,0x90
1.949872187500000,Async Serial,0xD0
1.949874437500000,Async Serial,0x00
1.949876625000000,Async Serial,0x41
1.949878875000000,Async Serial,0xD3
1.949881125000000,Async Serial,0x83
1.949883312500000,Async Serial,0x95
1.949885562500000,Async Serial,0x3D
1.949887750000000,Async Serial,0x3C
1.949890000000000,Async Serial,0xF1
1.949892187500000,Async Serial,0xC9
1.949894437500000,Async Serial,0xBE
1.949896625000000,Async Serial,0xB4
1.949898875000000,Async Serial,0x30
1.949901125000000,Async Serial,0xE3
1.949903312500000,Async Serial,0x3C
1.949905562500000,Async Serial,0xFA
1.949907750000000,Async Serial,0xD4
1.949910000000000,Async Serial,0x2D
1.949912187500000,Async Serial,0xBF
1.949914437500000,Async Serial,0xC0
1.950031750000000,Async Serial,0xCA
1.950034000000000,Async Serial,0x96
1.950036187500000,Async Serial,0x28
1.950038437500000,Async Serial,0x00
1.950040687500000,Async Serial,0x3E
1.950042875000000,Async Serial,0xC3
1.950045125000000,Async Serial,0x2E
1.950047312500000,Async Serial,0x39
1.950049562500000,Async Serial,0x98
1.950051750000000,Async Serial,0x66
1.950054000000000,Async Serial,0x4B
1.950056187500000,Async Serial,0x40
1.950058437500000,Async Serial,0x00
1.950060687500000,Async Serial,0x00
1.950062875000000,Async Serial,0x00
1.950065125000000,Async Serial,0x00
1.950067312500000,Async Serial,0x8C
1.950069562500000,Async Serial,0xCD
1.950071750000000,Async Serial,0x2F
1.950074000000000,Async Serial,0x3E
1.950076250000000,Async Serial,0x3C
1.950078437500000,Async Serial,0xE4
1.950080687500000,Async Serial,0x2D
1.950082875000000,Async Serial,0xBF
1.950085125000000,Async Serial,0x58
1.950087312500000,Async Serial,0x93
1.950089562500000,Async Serial,0xD1
1.950091750000000,Async Serial,0x3B
1.950094000000000,Async Serial,0xFD
1.950096250000000,Async Serial,0xD0
1.950098437500000,Async Serial,0x4A
1.950100687500000,Async Serial,0xBF
1.950102875000000,Async Serial,0xC0
1.950208437500000,Async Serial,0x7B
1.950210625000000,Async Serial,0x97
1.950212875000000,Async Serial,0x28
1.950215062500000,Async Serial,0x00
1.950217312500000,Async Serial,0x3E
1.950219562500000,Async Serial,0xC3
1.950221750000000,Async Serial,0x2E
1.950224000000000,Async Serial,0x39
1.950226187500000,Async Serial,0x9C
1.950228437500000,Async Serial,0x5B
1.950230625000000,Async Serial,0x4B
1.950232875000000,Async Serial,0x40
1.950235062500000,Async Serial,0x90
1.950237312500000,Async Serial,0xD0
1.950239562500000,Async Serial,0x80
1.950241750000000,Async Serial,0xDB
1.950244000000000,Async Serial,0xDC
